IDNumber,Age,Gender,Ethnicity,Region,q0014,q0015,q0016,q0017,q0018,q0019,q0020,q0021,q0022,q0024,q0026,q0027,q0028,q0029,q0030,q0031,q0032,q0033,q0034,q0035,q0038,q0039,q0041,q0042,q0043,q0045,q0046,q0047,q0048,q0050,q0052,q0053,q0054,q0057,q0058,q0059,q0060,q0061,q0062,q0063,q0064,q0065,q0066,q0067,q0068,q0069,q0070,q0071,q0074,q0076,q0077,q0078,q0079,q0080,q0081,q0083,q0084,q0086,q0088,q0090,q0091,q0093,q0094,q0095,q0096,q0097,q0099,q0100,q0101,q0104,q0105,q0106,q0108,q0110,q0111,q0112,q0113,q0114,q0115,q0117,age_range,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw,TOT_NT,SOC_NT,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,PLA_NT
105087,5,Male,White,midwest,2,2,2,2,1,2,1,3,3,2,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,2,1,2,5 yr,72,20,13,13,11,11,13,11,16,55,58,55,53,50,55,57,53,59
105038,5,Female,White,midwest,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5 yr,63,11,11,12,10,10,10,10,10,43,42,47,50,42,45,44,44,41
106008,5,Female,White,midwest,1,1,2,2,1,1,1,3,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,5 yr,68,14,14,12,10,11,10,11,10,50,48,58,50,42,55,44,53,41
132001,5,Female,White,midwest,2,2,2,2,1,2,1,2,2,2,2,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,5 yr,72,18,14,11,12,12,10,13,11,55,56,58,46,55,59,44,58,48
132004,5,Female,White,midwest,2,1,2,1,1,1,1,2,3,2,2,2,1,1,1,1,1,1,1,3,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,3,2,2,1,1,1,2,1,1,1,2,1,5 yr,78,16,14,14,11,11,12,16,13,59,51,58,56,50,55,55,62,54
132006,5,Male,White,midwest,2,1,2,1,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,1,1,1,2,2,1,3,1,2,1,1,1,2,2,2,2,2,2,3,2,1,1,2,2,1,1,2,5 yr,82,14,12,12,13,12,17,16,17,61,48,51,50,59,59,62,62,61
132007,5,Male,MultiRacial,midwest,2,1,1,2,1,1,2,2,2,1,2,1,2,2,2,1,1,1,1,2,2,1,1,1,1,1,3,2,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,2,1,3,1,1,1,1,2,1,4,2,1,2,1,1,1,1,2,1,1,1,5 yr,85,15,15,14,13,11,15,17,12,62,50,62,56,59,55,60,64,51
132009,5,Female,Black,midwest,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,5 yr,67,13,10,10,11,11,11,14,11,49,47,40,39,50,55,53,60,48
119044,5,Female,White,south,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,5 yr,61,13,11,10,10,10,10,10,11,40,47,47,39,42,45,44,44,48
141066,5,Female,AmericanIndAlaskanNat,south,1,1,1,2,1,1,1,2,1,1,1,2,2,2,1,1,2,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,5 yr,69,12,14,14,11,10,10,10,11,52,44,58,56,50,45,44,44,48
