IDNumber,data,Age,Gender,Ethnicity,Region,q0014,q0015,q0016,q0017,q0018,q0019,q0020,q0021,q0022,q0024,q0026,q0027,q0028,q0029,q0030,q0031,q0032,q0033,q0034,q0035,q0038,q0039,q0041,q0042,q0043,q0045,q0046,q0047,q0048,q0050,q0052,q0053,q0054,q0057,q0058,q0059,q0060,q0061,q0062,q0063,q0064,q0065,q0066,q0067,q0068,q0069,q0070,q0071,q0074,q0076,q0077,q0078,q0079,q0080,q0081,q0083,q0084,q0086,q0088,q0090,q0091,q0093,q0094,q0095,q0096,q0097,q0099,q0100,q0101,q0104,q0105,q0106,q0108,q0110,q0111,q0112,q0113,q0114,q0115,q0117,age_range,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
118029,SM,4,Female,White,south,2,2,2,2,2,2,2,3,2,2,2,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,2,1,1,2,2 to 4 years,73,21,14,12,11,11,13,12,14
118030,SM,3,Male,White,south,2,1,2,2,1,2,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,2,2,2 to 4 years,73,15,13,11,12,11,14,12,14
118056,SM,4,Male,White,south,3,3,2,3,2,2,2,3,3,2,2,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,3,1,3,2,1,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,3,2,4,1,2,1,1,1,2,1,2,3,1,2,2,1,1,1,2,2,2,3,2,2 to 4 years,91,25,14,13,17,11,21,15,18
118078,SM,4,Female,White,south,2,2,2,1,2,1,1,3,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2 to 4 years,74,18,12,13,12,11,15,11,11
118072,SM,3,Female,White,south,1,2,2,2,1,1,1,3,1,1,3,1,3,2,1,1,2,2,1,2,1,1,1,2,1,1,2,3,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,1,1,1,2,1,2,1,1,2,2,2,1,1,1,2,1,1,2,2 to 4 years,85,15,18,15,12,10,16,14,15
105028,SM,3,Female,White,midwest,2,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2 to 4 years,70,14,11,15,12,10,10,12,20
105021,SM,4,Female,White,south,1,1,2,1,2,2,2,3,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2 to 4 years,72,17,12,13,13,11,10,13,18
118069,SM,4,Male,White,south,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2 to 4 years,66,10,12,11,10,11,12,10,11
118026,SM,3,Male,White,south,2,2,2,1,2,2,3,3,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2 to 4 years,61,22,10,11,10,10,10,10,10
137013,SM,4,Male,White,midwest,2,2,2,2,1,2,2,3,3,2,2,2,2,3,2,1,1,1,1,2,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2,3,2,1,2,2,2,2,2,2,2 to 4 years,78,21,17,14,12,11,11,13,20
