IDNumber,AgeInMonths,agestrat,Gender,ParentHighestEducation,Ethnicity,Region,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw,TOT_NT,SOC_NT,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,PLA_NT
118024,7,7-9 mo,Female,Bachelor's degree or higher,MultiRacial,south,94,18,17,16,14,14,16,17,27,56,59,46,57,50,60,56,60,69
137001,9,7-9 mo,Male,Bachelor's degree or higher,Hispanic,midwest,66,16,12,10,11,10,11,12,15,32,54,33,30,37,40,36,47,47
118041,7,7-9 mo,Male,Bachelor's degree or higher,White,west,86,16,19,16,13,12,16,10,12,50,54,52,57,46,53,56,37,41
118068,8,7-9 mo,Male,Some college or associate degree,White,south,101,15,18,17,17,13,19,17,22,62,52,49,61,58,58,64,60,59
105029,7,7-9 mo,Male,Bachelor's degree or higher,White,midwest,61,10,10,10,10,10,11,10,10,27,32,27,30,30,40,36,37,35
131007,8,7-9 mo,Female,Bachelor's degree or higher,White,west,100,18,24,16,17,11,16,16,22,61,59,64,57,58,48,56,59,59
118073,8,7-9 mo,Female,Some college or associate degree,White,south,92,14,19,16,16,11,17,13,20,55,49,52,57,55,48,59,51,55
133003,9,7-9 mo,Male,Bachelor's degree or higher,White,west,87,10,27,12,13,11,14,10,10,51,32,70,43,46,48,48,37,35
118053,7,7-9 mo,Female,Some college or associate degree,White,south,84,10,19,12,11,10,17,15,14,48,32,52,43,37,40,59,56,44
105062,8,7-9 mo,Male,Bachelor's degree or higher,White,south,94,13,21,14,18,13,15,13,22,56,47,56,51,62,58,52,51,59
105082,9,7-9 mo,Female,Some college or associate degree,White,south,75,11,18,12,13,11,11,10,13,38,39,49,43,46,48,36,37,42
105103,7,7-9 mo,Male,Bachelor's degree or higher,White,midwest,100,10,30,14,19,11,15,11,12,61,32,72,51,65,48,52,44,41
133010,9,7-9 mo,Male,Bachelor's degree or higher,MultiRacial,west,72,15,14,12,12,11,13,10,15,36,52,38,43,42,48,44,37,47
105086,8,7-9 mo,Female,Bachelor's degree or higher,White,midwest,84,12,22,13,12,12,11,14,14,48,43,58,48,42,53,36,54,44
126015,7,7-9 mo,Female,Bachelor's degree or higher,White,west,82,10,23,14,12,10,12,11,21,45,32,61,51,42,40,40,44,56
126012,7,7-9 mo,Female,Bachelor's degree or higher,White,west,98,19,23,15,19,12,16,13,22,60,62,61,54,65,53,56,51,59
126016,8,7-9 mo,Female,Bachelor's degree or higher,White,west,87,18,22,13,14,10,17,11,10,51,59,58,48,50,40,59,44,35
126034,8,7-9 mo,Female,Bachelor's degree or higher,White,south,88,19,20,12,15,12,18,11,18,53,62,55,43,53,53,62,44,52
118080,8,7-9 mo,Male,Bachelor's degree or higher,Black,south,87,18,18,11,18,10,14,16,20,51,59,49,37,62,40,48,59,55
105108,7,7-9 mo,Female,Bachelor's degree or higher,White,midwest,72,13,15,11,11,10,14,11,21,36,47,42,37,37,40,48,44,56
126043,9,7-9 mo,Female,Bachelor's degree or higher,White,south,85,20,18,13,14,12,13,15,12,49,66,49,48,50,53,44,56,41
126079,7,7-9 mo,Female,Bachelor's degree or higher,White,south,101,10,20,20,16,12,20,13,27,62,32,55,68,55,53,67,51,69
126082,7,7-9 mo,Male,Bachelor's degree or higher,White,west,85,18,21,13,12,10,14,15,23,49,59,56,48,42,40,48,56,62
