IDNumber,data,Age,Gender,ParentHighestEducation,Ethnicity,Region,q0014,q0015,q0016,q0017,q0018,q0019,q0020,q0021,q0022,q0023,q0027,q0028,q0029,q0030,q0031,q0035,q0036,q0037,q0038,q0039,q0040,q0041,q0042,q0043,q0044,q0045,q0046,q0047,q0048,q0050,q0053,q0055,q0057,q0058,q0059,q0060,q0061,q0063,q0064,q0065,q0068,q0070,q0071,q0072,q0073,q0075,q0076,q0077,q0078,q0079,q0081,q0082,q0083,q0084,q0086,q0088,q0089,q0090,q0091,q0092,q0095,q0096,q0097,q0098,q0102,q0103,q0105,q0106,q0107,q0108,q0111,q0112,q0113,q0114,q0115,q0116,q0117,q0120,q0121,q0122,age_range,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
362003,Sp,9,Female,High school graduate (including GED),Hispanic,south,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,9 to 12 years,62,10,10,10,12,10,10,10,12
362004,Sp,9,Female,High school graduate (including GED),Hispanic,south,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9 to 12 years,65,10,11,10,11,12,11,10,10
362018,Sp,5,Female,High school graduate (including GED),Hispanic,south,1,1,2,2,2,2,3,3,3,3,4,4,4,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,5 to 8 years,74,22,23,10,10,11,10,10,13
362019,Sp,5,Female,High school graduate (including GED),Hispanic,south,2,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,5 to 8 years,62,22,10,10,10,12,10,10,12
362012,Sp,9,Male,High school graduate (including GED),Hispanic,south,1,1,2,4,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,3,2,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,9 to 12 years,71,19,10,11,12,15,12,11,11
362013,Sp,6,Female,High school graduate (including GED),Hispanic,south,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5 to 8 years,65,12,10,10,11,13,11,10,10
362006,Sp,6,Female,High school graduate (including GED),Hispanic,northeast,1,1,2,2,2,3,2,1,1,2,2,1,2,2,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,1,2,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,1,5 to 8 years,79,17,14,14,15,14,11,11,15
362007,Sp,5,Male,High school graduate (including GED),Hispanic,south,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,4,3,1,1,4,1,1,2,2,3,3,3,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,1,5 to 8 years,86,15,12,12,18,21,13,10,17
362008,Sp,11,Male,High school graduate (including GED),Hispanic,south,1,1,2,2,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,4,2,1,1,4,1,1,1,2,2,2,3,1,1,3,2,1,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,2,1,4,4,2,1,1,1,2,1,9 to 12 years,88,13,13,10,18,18,13,16,19
362009,Sp,9,Female,High school graduate (including GED),Hispanic,south,2,1,3,2,1,2,2,1,1,2,2,2,1,1,1,2,1,2,2,1,1,1,4,1,1,1,1,1,2,1,1,1,1,1,2,2,4,2,4,3,1,1,4,1,1,1,2,3,2,4,1,1,1,2,2,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,2,1,4,4,1,1,1,1,2,1,9 to 12 years,98,17,15,14,21,20,12,16,18
366005,Sp,9,Female,Bachelor's degree or higher,Hispanic,south,2,2,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,2,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,3,3,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,1,2,1,9 to 12 years,77,19,12,14,16,12,12,11,15
371010,Sp,6,Male,High school graduate (including GED),Hispanic,west,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5 to 8 years,61,10,10,10,10,11,10,10,10
371011,Sp,8,Male,High school graduate (including GED),Hispanic,west,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,5 to 8 years,68,11,11,11,13,12,11,10,14
371012,Sp,11,Female,High school graduate (including GED),Hispanic,west,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9 to 12 years,62,10,10,10,11,11,10,10,10
366009,Sp,12,Male,Bachelor's degree or higher,Hispanic,south,1,2,3,3,2,2,2,2,3,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,9 to 12 years,68,22,13,11,11,10,13,10,12
366010,Sp,9,Female,Bachelor's degree or higher,Hispanic,south,1,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9 to 12 years,62,17,10,10,11,11,10,10,10
369008,Sp,10,Female,Bachelor's degree or higher,Hispanic,west,3,2,1,3,2,2,2,2,2,1,3,4,3,2,2,3,2,2,3,2,4,4,1,2,4,3,3,4,4,2,1,1,2,1,1,1,2,2,2,3,1,1,1,2,1,2,3,3,1,3,2,1,2,2,3,1,2,1,1,2,2,1,1,1,1,1,2,3,2,1,4,3,3,2,1,1,1,4,3,3,9 to 12 years,123,20,26,31,16,18,17,15,25
369002,Sp,11,Female,Did not complete high school (no diploma),Hispanic,west,1,1,1,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,9 to 12 years,66,15,12,10,12,12,10,10,14
369014,Sp,7,Male,Bachelor's degree or higher,Hispanic,west,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,5 to 8 years,73,11,13,11,14,14,11,10,11
407044,Sp,11,Female,Bachelor's degree or higher,Hispanic,south,2,1,2,1,2,2,1,2,3,2,2,1,1,1,1,1,1,1,1,1,3,3,1,3,2,3,1,3,2,3,1,4,1,1,2,1,1,3,1,1,1,1,1,2,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9 to 12 years,87,18,11,24,16,14,10,12,10
407003,Sp,9,Female,Bachelor's degree or higher,Hispanic,south,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,4,1,1,1,1,2,1,1,1,1,1,1,1,4,1,2,1,4,1,1,1,1,1,3,4,2,2,1,3,1,1,2,1,9 to 12 years,77,12,12,11,11,15,11,17,20
397001,Sp,6,Male,High school graduate (including GED),Hispanic,west,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2,2,1,1,1,3,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,5 to 8 years,71,40,12,13,13,12,11,10,11
397002,Sp,9,Male,High school graduate (including GED),Hispanic,west,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,4,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,9 to 12 years,72,11,12,12,15,13,10,10,11
397003,Sp,6,Female,Bachelor's degree or higher,Hispanic,west,1,2,2,2,2,2,2,2,1,2,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,3,1,2,1,2,1,1,1,1,3,2,1,2,2,1,2,2,3,1,3,3,3,2,1,2,1,1,3,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,5 to 8 years,90,18,13,13,16,21,14,13,11
397004,Sp,10,Male,Bachelor's degree or higher,Hispanic,west,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,3,1,1,3,2,1,2,3,3,3,2,2,1,3,3,2,3,3,2,1,2,2,2,2,2,2,4,2,2,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,2,1,1,2,2,1,9 to 12 years,103,12,11,13,22,22,21,14,15
397010,Sp,5,Male,High school graduate (including GED),Hispanic,west,1,2,1,1,2,1,2,2,2,2,1,2,1,1,2,1,3,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,1,1,2,2,5 to 8 years,76,16,16,11,14,11,13,11,15
397009,Sp,8,Female,Did not complete high school (no diploma),Hispanic,west,2,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,1,1,5 to 8 years,73,18,14,11,14,13,10,11,14
