IDNumber,AgeInMonths,agestrat,Gender,ParentHighestEducation,Ethnicity,Region,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw,TOT_NT,SOC_NT,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,PLA_NT
118021,6,4-6 mo,Male,Some college or associate degree,Hispanic,south,62,12,10,10,10,11,11,10,17,27,40,25,30,32,53,34,30,46
118050,5,4-6 mo,Female,Bachelor's degree or higher,White,south,99,13,24,15,15,11,18,16,20,57,44,57,51,53,53,61,54,49
105007,5,4-6 mo,Female,Bachelor's degree or higher,White,midwest,102,18,26,15,17,14,13,17,29,60,55,63,51,60,63,43,57,63
105013,4,4-6 mo,Male,Bachelor's degree or higher,White,midwest,88,19,25,14,12,10,12,15,24,48,57,60,47,40,43,37,51,54
118036,5,4-6 mo,Male,Bachelor's degree or higher,White,south,111,14,27,19,20,13,14,18,23,66,46,65,61,65,60,48,61,53
105019,5,4-6 mo,Female,Some college or associate degree,Hispanic,northeast,96,17,20,15,17,13,16,15,18,55,53,48,51,60,60,56,51,47
105036,4,4-6 mo,Male,Bachelor's degree or higher,White,midwest,91,17,22,13,14,10,13,19,12,52,53,52,43,48,43,43,64,39
118033,5,4-6 mo,Male,Bachelor's degree or higher,White,south,90,23,21,15,15,10,13,16,19,50,65,50,51,53,43,43,54,48
131004,6,4-6 mo,Female,Bachelor's degree or higher,Hispanic,west,86,15,22,14,14,10,14,12,23,44,48,52,47,48,43,48,40,53
131010,4,4-6 mo,Female,Bachelor's degree or higher,White,midwest,104,10,27,16,15,10,18,18,30,62,30,65,55,53,43,61,61,65
105077,5,4-6 mo,Male,Bachelor's degree or higher,White,midwest,81,19,19,15,12,10,13,12,19,39,57,44,51,40,43,43,40,48
105078,4,4-6 mo,Female,High school graduate (including GED),Black,midwest,87,24,20,15,12,11,15,14,27,46,67,48,51,40,53,53,47,58
105079,5,4-6 mo,Female,Bachelor's degree or higher,White,midwest,83,12,20,11,13,10,15,14,20,40,40,48,35,44,43,53,47,49
105080,5,4-6 mo,Female,Bachelor's degree or higher,White,midwest,85,12,18,13,14,10,15,15,22,43,40,42,43,48,43,53,51,52
105104,4,4-6 mo,Female,Bachelor's degree or higher,White,midwest,104,22,24,16,17,11,16,20,28,62,64,57,55,60,53,56,66,60
131014,5,4-6 mo,Male,Bachelor's degree or higher,White,west,94,14,24,14,16,12,18,10,28,54,46,57,47,57,58,61,30,60
134007,6,4-6 mo,Female,Some college or associate degree,Other,west,100,16,28,14,14,10,17,17,24,58,50,67,47,48,43,58,57,54
138004,4,4-6 mo,Female,Some college or associate degree,White,west,89,12,15,16,16,13,13,16,15,49,40,35,55,57,60,43,54,43
131016,5,4-6 mo,Female,Some college or associate degree,White,west,90,11,25,15,11,11,14,14,14,50,36,60,51,36,53,48,47,42
126066,5,4-6 mo,Male,Bachelor's degree or higher,White,west,65,17,11,10,10,10,13,11,22,31,53,29,30,32,43,43,35,52
105115,6,4-6 mo,Male,Bachelor's degree or higher,White,midwest,89,20,19,15,14,13,14,14,17,49,60,44,51,48,60,48,47,46
126144,4,4-6 mo,Female,Bachelor's degree or higher,White,west,77,14,15,11,13,10,14,14,21,35,46,35,35,44,43,48,47,50
131018,6,4-6 mo,Female,Some college or associate degree,Hispanic,west,88,10,25,13,15,10,13,12,16,48,30,60,43,53,43,43,40,44
136008,5,4-6 mo,Female,Bachelor's degree or higher,Asian,south,87,13,20,13,15,11,15,13,18,46,44,48,43,53,53,53,44,47
106002,6,4-6 mo,Female,Bachelor's degree or higher,Hispanic,midwest,97,11,19,17,14,14,14,19,26,56,36,44,58,48,63,48,64,57
126139,5,4-6 mo,Female,Bachelor's degree or higher,White,south,89,17,22,14,15,11,13,14,25,49,53,52,47,53,53,43,47,56
136009,4,4-6 mo,Female,Some college or associate degree,White,west,90,13,22,19,12,11,14,12,10,50,44,52,61,40,53,48,40,34
119056,4,4-6 mo,Female,Some college or associate degree,White,south,84,18,19,13,12,11,13,16,32,42,55,44,43,40,53,43,54,69
131022,6,4-6 mo,Female,Some college or associate degree,White,west,103,11,22,16,19,14,15,17,10,61,36,52,55,64,63,53,57,34
134020,6,4-6 mo,Female,Bachelor's degree or higher,White,west,87,21,19,15,14,10,16,13,13,46,62,44,51,48,43,56,44,41
131025,4,4-6 mo,Male,Bachelor's degree or higher,White,west,89,13,18,16,14,10,13,18,21,49,44,42,55,48,43,43,61,50
119058,6,4-6 mo,Female,Some college or associate degree,MultiRacial,south,121,13,24,14,22,16,23,22,19,68,44,57,47,69,67,69,69,48
126303,5,4-6 mo,Female,Bachelor's degree or higher,White,midwest,94,20,20,16,17,11,13,17,21,54,60,48,55,60,53,43,57,50
119055,4,4-6 mo,Female,Bachelor's degree or higher,Black,south,85,18,22,15,14,10,10,14,10,43,55,52,51,48,43,29,47,34
126178,6,4-6 mo,Female,Bachelor's degree or higher,Hispanic,midwest,86,11,26,11,14,12,12,11,14,44,36,63,35,48,58,37,35,42
119064,6,4-6 mo,Female,Some college or associate degree,Black,south,84,18,19,17,14,11,10,13,11,42,55,44,58,48,53,29,44,38
131020,5,4-6 mo,Female,Bachelor's degree or higher,Hispanic,west,92,17,18,15,17,10,15,17,28,52,53,42,51,60,43,53,57,60
126230,5,4-6 mo,Male,Bachelor's degree or higher,White,west,101,16,20,19,16,15,16,15,27,59,50,48,61,57,65,56,51,58
126384,5,4-6 mo,Male,Bachelor's degree or higher,White,west,90,11,21,14,15,10,14,16,22,50,36,50,47,53,43,48,54,52
120013,5,4-6 mo,Male,Bachelor's degree or higher,Hispanic,west,87,15,21,15,14,10,14,13,18,46,48,50,51,48,43,48,44,47
126318,6,4-6 mo,Male,Bachelor's degree or higher,White,midwest,101,12,22,15,16,14,16,18,28,59,40,52,51,57,63,56,61,60
131024,4,4-6 mo,Male,Some college or associate degree,White,west,107,16,24,18,18,12,17,18,23,64,50,57,59,63,58,58,61,53
143004,5,4-6 mo,Female,Bachelor's degree or higher,White,northeast,86,16,24,12,11,10,14,15,16,44,50,57,39,36,43,48,51,44
141090,6,4-6 mo,Male,Bachelor's degree or higher,Hispanic,south,101,13,22,15,17,12,19,16,16,59,44,52,51,60,58,65,54,44
143017,5,4-6 mo,Male,Bachelor's degree or higher,Hispanic,northeast,86,12,21,12,15,12,14,12,17,44,40,50,39,53,58,48,40,46
143036,4,4-6 mo,Female,High school graduate (including GED),Hispanic,northeast,87,20,17,19,12,11,13,15,25,46,60,39,61,40,53,43,51,56
119086,5,4-6 mo,Female,Some college or associate degree,Other,south,79,10,20,10,13,10,15,11,10,36,30,48,30,44,43,53,35,34
119080,5,4-6 mo,Female,Some college or associate degree,Black,south,87,16,17,12,15,15,11,17,25,46,50,39,39,53,65,34,57,56
209003,6,4-6 mo,Female,High school graduate (including GED),White,south,85,12,26,14,10,10,13,12,10,43,40,63,47,32,43,43,40,34
209017,5,4-6 mo,Female,Bachelor's degree or higher,MultiRacial,south,93,21,19,17,15,11,17,14,13,53,62,44,58,53,53,58,47,41
189005,4,4-6 mo,Male,Bachelor's degree or higher,White,south,100,14,25,19,14,10,19,13,29,58,46,60,61,48,43,65,44,63
