IDNumber,data,Age,Gender,ParentHighestEducation,Ethnicity,Region,q0014,q0015,q0016,q0017,q0019,q0020,q0021,q0022,q0024,q0025,q0027,q0028,q0029,q0030,q0031,q0032,q0033,q0036,q0037,q0038,q0040,q0042,q0043,q0044,q0045,q0047,q0049,q0050,q0051,q0052,q0053,q0054,q0056,q0058,q0059,q0060,q0061,q0062,q0063,q0064,q0066,q0067,q0070,q0072,q0073,q0074,q0075,q0076,q0077,q0078,q0079,q0080,q0081,q0082,q0083,q0084,q0085,q0086,q0088,q0090,q0092,q0094,q0095,q0096,q0097,q0099,q0100,q0103,q0104,q0105,q0106,q0107,q0108,q0109,q0110,q0112,q0114,q0115,q0116,q0117,age_range,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
365030,SM,12,Female,Some college or associate degree,Black,south,2,1,1,1,2,1,1,2,2,3,1,2,1,1,1,2,1,1,2,2,1,3,1,1,1,3,1,2,1,1,4,2,3,1,3,1,2,1,1,1,2,2,3,2,4,2,3,3,2,1,1,2,2,1,1,1,3,3,1,2,1,1,1,1,1,1,1,1,1,3,2,1,1,2,2,1,1,1,2,2,12 to 13 years,101,16,14,15,19,24,17,12,15
410018,SM,14,Male,Did not complete high school (no diploma),Hispanic,west,1,2,2,3,2,1,1,2,2,2,1,1,1,2,2,2,3,2,1,2,1,1,2,2,1,2,2,2,2,2,2,1,1,2,1,1,2,1,1,1,2,2,2,1,3,1,1,1,2,2,2,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,3,2,1,2,1,1,1,14 to 15 years,90,18,17,17,13,17,15,11,16
309028,SM,14,Male,Did not complete high school (no diploma),Hispanic,west,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,2,1,2,2,1,1,2,1,1,2,2,1,1,1,2,1,2,1,1,3,2,2,1,2,2,1,1,2,2,2,1,1,2,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,2,2,1,2,2,2,1,1,2,1,2,14 to 15 years,87,12,14,15,15,17,13,13,16
100017,In-house-Eng,16,Female,High school graduate (including GED),Hispanic,west,2,2,2,3,1,1,3,2,1,1,2,1,1,2,2,2,2,1,2,1,1,1,2,1,1,2,2,2,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,16 to 17 years,81,18,16,15,12,16,12,10,11
190117,SM,17,Female,Bachelor's degree or higher,White,west,1,1,1,1,2,1,1,3,1,1,3,3,2,3,4,1,1,3,1,1,3,3,3,1,2,3,2,2,1,4,2,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,1,4,2,1,1,1,2,1,2,2,1,1,3,1,1,1,1,2,1,2,2,1,1,2,2,1,1,1,1,4,16 to 17 years,104,13,22,24,12,15,17,14,16
197002,SM,17,Female,Bachelor's degree or higher,White,west,1,2,1,2,2,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,16 to 17 years,72,13,15,12,12,11,10,12,10
137007,SM,13,Male,Bachelor's degree or higher,White,midwest,2,2,2,3,1,1,4,2,1,1,2,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,2,2,1,1,2,1,1,1,1,1,3,2,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1,1,2,1,12 to 13 years,81,19,13,13,13,16,11,15,13
230025,SM,13,Male,Bachelor's degree or higher,White,midwest,2,1,1,1,2,1,3,2,2,2,2,2,2,2,2,2,1,2,1,1,3,2,1,1,1,2,2,1,2,1,3,2,2,2,1,1,1,1,1,2,2,2,2,3,2,1,2,2,1,2,2,3,2,1,1,2,2,2,1,2,1,2,2,1,1,1,1,1,1,2,2,1,2,1,2,1,2,2,2,1,12 to 13 years,99,17,17,16,16,19,18,13,16
105026,SM,13,Male,Bachelor's degree or higher,White,midwest,1,1,2,2,1,1,3,1,1,2,1,2,2,4,2,1,1,2,4,2,1,3,2,2,1,2,2,2,3,4,2,3,2,1,4,3,1,2,1,1,2,3,1,1,1,2,1,2,2,1,4,3,2,1,2,2,2,2,2,2,1,1,2,1,2,2,1,1,2,3,2,1,2,2,3,2,3,1,4,1,12 to 13 years,117,15,21,22,20,16,22,16,21
230027,SM,15,Female,Bachelor's degree or higher,White,midwest,1,1,1,1,2,1,3,2,2,1,1,1,1,1,2,2,1,2,1,2,1,2,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,2,3,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1,2,1,1,1,1,2,2,1,2,1,1,1,2,2,1,1,14 to 15 years,79,15,14,13,13,13,13,13,14
